TeamID,ParticipantID,Name,Email,Game,Role,Skill,PersonalityScore,PersonalityType
6,P058,Participant_58,user58@university.edu,Valorant,Defender,3,95,Leader
6,P021,Participant_21,user21@university.edu,FIFA,Strategist,4,64,Thinker
6,P017,Participant_17,user17@university.edu,CS:GO,Attacker,10,77,Balanced
6,P008,Participant_8,user8@university.edu,Valorant,Defender,10,81,Balanced
7,P097,Participant_97,user97@university.edu,FIFA,Attacker,3,96,Leader
7,P037,Participant_37,user37@university.edu,DOTA 2,Attacker,8,100,Leader
7,P060,Participant_60,user60@university.edu,CS:GO,Coordinator,4,57,Thinker
7,P078,Participant_78,user78@university.edu,FIFA,Defender,6,51,Thinker
7,P027,Participant_27,user27@university.edu,Chess,Attacker,6,53,Thinker
8,P049,Participant_49,user49@university.edu,Basketball,Supporter,3,95,Leader
8,P019,Participant_19,user19@university.edu,FIFA,Supporter,9,95,Leader
8,P048,Participant_48,user48@university.edu,Valorant,Defender,6,65,Thinker
8,P006,Participant_6,user6@university.edu,CS:GO,Strategist,2,57,Thinker
8,P050,Participant_50,user50@university.edu,Basketball,Coordinator,5,70,Balanced
9,P022,Participant_22,user22@university.edu,Chess,Attacker,9,97,Leader
9,P028,Participant_28,user28@university.edu,CS:GO,Defender,8,90,Leader
9,P033,Participant_33,user33@university.edu,FIFA,Defender,7,65,Thinker
9,P045,Participant_45,user45@university.edu,Chess,Coordinator,2,68,Thinker
9,P005,Participant_5,user5@university.edu,CS:GO,Coordinator,9,82,Balanced
10,P073,Participant_73,user73@university.edu,DOTA 2,Defender,8,100,Leader
10,P067,Participant_67,user67@university.edu,Basketball,Attacker,1,92,Leader
10,P012,Participant_12,user12@university.edu,DOTA 2,Attacker,3,63,Thinker
10,P099,Participant_99,user99@university.edu,Valorant,Supporter,3,66,Thinker
10,P071,Participant_71,user71@university.edu,Chess,Strategist,8,70,Balanced
11,P001,Participant_1,user1@university.edu,Chess,Strategist,2,95,Leader
11,P040,Participant_40,user40@university.edu,Chess,Coordinator,9,100,Leader
11,P018,Participant_18,user18@university.edu,FIFA,Defender,3,51,Thinker
11,P032,Participant_32,user32@university.edu,DOTA 2,Attacker,2,86,Balanced
11,P029,Participant_29,user29@university.edu,Basketball,Supporter,5,77,Balanced
12,P064,Participant_64,user64@university.edu,CS:GO,Supporter,6,92,Leader
12,P013,Participant_13,user13@university.edu,DOTA 2,Defender,4,97,Leader
12,P036,Participant_36,user36@university.edu,Chess,Strategist,9,65,Thinker
12,P003,Participant_3,user3@university.edu,FIFA,Defender,4,66,Thinker
12,P054,Participant_54,user54@university.edu,Valorant,Supporter,8,69,Thinker
13,P043,Participant_43,user43@university.edu,DOTA 2,Defender,2,100,Leader
13,P007,Participant_7,user7@university.edu,DOTA 2,Attacker,5,93,Leader
13,P030,Participant_30,user30@university.edu,CS:GO,Coordinator,4,54,Thinker
13,P066,Participant_66,user66@university.edu,Chess,Strategist,1,67,Thinker
13,P011,Participant_11,user11@university.edu,Basketball,Strategist,8,84,Balanced
14,P004,Participant_4,user4@university.edu,Basketball,Supporter,4,91,Leader
14,P039,Participant_39,user39@university.edu,FIFA,Supporter,5,66,Thinker
14,P095,Participant_95,user95@university.edu,CS:GO,Coordinator,2,84,Balanced
14,P002,Participant_2,user2@university.edu,FIFA,Attacker,5,80,Balanced
14,P053,Participant_53,user53@university.edu,DOTA 2,Defender,7,71,Balanced
15,P100,Participant_100,user100@university.edu,CS:GO,Coordinator,7,97,Leader
15,P096,Participant_96,user96@university.edu,DOTA 2,Strategist,8,56,Thinker
15,P062,Participant_62,user62@university.edu,Basketball,Attacker,6,85,Balanced
15,P041,Participant_41,user41@university.edu,Basketball,Strategist,5,70,Balanced
15,P068,Participant_68,user68@university.edu,Chess,Defender,1,80,Balanced
16,P046,Participant_46,user46@university.edu,CS:GO,Strategist,5,96,Leader
16,P024,Participant_24,user24@university.edu,DOTA 2,Supporter,7,63,Thinker
16,P077,Participant_77,user77@university.edu,FIFA,Attacker,2,89,Balanced
16,P056,Participant_56,user56@university.edu,Basketball,Strategist,4,86,Balanced
16,P098,Participant_98,user98@university.edu,CS:GO,Defender,5,83,Balanced
17,P094,Participant_94,user94@university.edu,CS:GO,Supporter,2,98,Leader
17,P072,Participant_72,user72@university.edu,DOTA 2,Attacker,5,61,Thinker
17,P065,Participant_65,user65@university.edu,DOTA 2,Coordinator,7,77,Balanced
17,P092,Participant_92,user92@university.edu,Basketball,Attacker,7,70,Balanced
17,P014,Participant_14,user14@university.edu,FIFA,Supporter,3,73,Balanced
18,P085,Participant_85,user85@university.edu,Basketball,Coordinator,10,98,Leader
18,P075,Participant_75,user75@university.edu,Valorant,Coordinator,8,53,Thinker
18,P086,Participant_86,user86@university.edu,FIFA,Strategist,9,89,Balanced
18,P023,Participant_23,user23@university.edu,CS:GO,Defender,3,87,Balanced
18,P044,Participant_44,user44@university.edu,FIFA,Supporter,6,71,Balanced
19,P079,Participant_79,user79@university.edu,Chess,Supporter,5,97,Leader
19,P093,Participant_93,user93@university.edu,CS:GO,Defender,4,51,Thinker
19,P035,Participant_35,user35@university.edu,Basketball,Coordinator,8,78,Balanced
19,P047,Participant_47,user47@university.edu,DOTA 2,Attacker,10,78,Balanced
19,P083,Participant_83,user83@university.edu,DOTA 2,Defender,10,75,Balanced
20,P081,Participant_81,user81@university.edu,FIFA,Strategist,10,52,Thinker
20,P063,Participant_63,user63@university.edu,Chess,Defender,8,60,Thinker
20,P020,Participant_20,user20@university.edu,Valorant,Coordinator,3,82,Balanced
21,P042,Participant_42,user42@university.edu,DOTA 2,Attacker,7,53,Thinker
21,P076,Participant_76,user76@university.edu,FIFA,Strategist,7,91,Leader
21,P074,Participant_74,user74@university.edu,FIFA,Supporter,3,82,Balanced
